iter	Passed	Remaining
419	2683	3706
420	2690	3699
421	2694	3690
422	2698	3681
423	2703	3672
424	2709	3665
425	2714	3657
426	2718	3647
427	2725	3641
428	2729	3632
429	2733	3623
430	2739	3617
431	2744	3608
432	2748	3598
433	2753	3591
434	2758	3582
435	2762	3573
436	2766	3564
437	2772	3557
438	2776	3548
439	2781	3539
440	2787	3532
441	2791	3524
442	2795	3515
443	2801	3507
444	2806	3500
445	2810	3491
446	2816	3484
447	2821	3476
448	2825	3467
449	2829	3458
450	2836	3452
451	2839	3442
452	2843	3433
453	2849	3426
454	2853	3417
455	2856	3407
456	2860	3398
457	2866	3392
458	2870	3383
459	2875	3375
460	2880	3367
461	2886	3360
462	2890	3352
463	2897	3346
464	2901	3338
465	2905	3329
466	2910	3321
467	2917	3316
468	2922	3308
469	2926	3299
470	2932	3293
471	2936	3285
472	2940	3276
473	2946	3270
474	2951	3262
475	2955	3253
476	2961	3247
477	2966	3240
478	2971	3232
479	2977	3225
480	2981	3217
481	2986	3209
482	2991	3201
483	2996	3194
484	3001	3186
485	3005	3178
486	3013	3174
487	3020	3168
488	3027	3163
489	3034	3158
490	3039	3150
491	3048	3147
492	3053	3140
493	3065	3139
494	3078	3141
495	3084	3134
496	3094	3132
497	3100	3125
498	3112	3124
499	3117	3117
500	3128	3116
501	3134	3109
502	3149	3111
503	3165	3114
504	3179	3116
505	3184	3108
506	3193	3105
507	3205	3104
508	3211	3097
509	3223	3096
510	3229	3090
511	3240	3088
512	3245	3081
513	3257	3080
514	3263	3073
515	3273	3070
516	3283	3067
517	3290	3061
518	3301	3059
519	3307	3052
520	3322	3054
521	3334	3053
522	3340	3046
523	3352	3045
524	3357	3038
525	3370	3037
526	3381	3035
527	3387	3028
528	3397	3025
529	3404	3018
530	3414	3015
531	3419	3007
532	3425	3001
533	3431	2994
534	3436	2986
535	3443	2981
536	3450	2975
537	3459	2970
538	3465	2964
539	3470	2956
540	3477	2950
541	3481	2942
542	3486	2934
543	3493	2928
544	3497	2919
545	3501	2911
546	3508	2905
547	3513	2898
548	3518	2890
549	3524	2883
550	3529	2876
551	3533	2867
552	3539	2861
553	3543	2853
554	3548	2845
555	3553	2838
556	3558	2830
557	3562	2821
558	3566	2813
559	3572	2806
560	3576	2798
561	3580	2790
562	3586	2783
563	3590	2775
564	3594	2767
565	3599	2759
566	3605	2753
567	3609	2745
568	3613	2737
569	3619	2730
570	3624	2723
571	3628	2715
572	3634	2708
573	3638	2700
574	3642	2691
575	3646	2684
576	3651	2677
577	3656	2669
578	3660	2661
579	3665	2654
580	3670	2646
581	3674	2638
582	3678	2631
583	3684	2624
584	3688	2616
585	3692	2608
586	3698	2601
587	3702	2594
588	3706	2586
589	3710	2578
590	3718	2573
591	3723	2566
592	3729	2559
593	3735	2553
594	3740	2545
595	3745	2539
596	3749	2531
597	3754	2523
598	3758	2516
599	3764	2509
600	3768	2501
601	3773	2494
602	3778	2487
603	3782	2479
604	3786	2472
605	3790	2464
606	3796	2457
607	3800	2450
608	3805	2443
609	3810	2436
610	3814	2428
611	3819	2421
612	3823	2414
613	3829	2407
614	3833	2400
615	3838	2392
616	3844	2386
617	3847	2378
618	3851	2370
619	3857	2364
620	3861	2356
621	3866	2349
622	3868	2340
623	3873	2334
624	3878	2327
625	3882	2319
626	3887	2312
627	3892	2305
628	3896	2298
629	3900	2290
630	3906	2284
631	3911	2277
632	3915	2270
633	3921	2263
634	3926	2257
635	3931	2250
636	3937	2243
637	3941	2236
638	3946	2229
639	3950	2221
640	3956	2215
641	3960	2208
642	3965	2201
643	3971	2195
644	3975	2188
645	3980	2181
646	3986	2175
647	3993	2169
648	3998	2162
649	4006	2157
650	4012	2151
651	4026	2148
652	4033	2143
653	4041	2138
654	4050	2133
655	4058	2128
656	4071	2125
657	4078	2119
658	4090	2116
659	4095	2109
660	4109	2107
661	4122	2104
662	4133	2100
663	4141	2095
664	4156	2093
665	4172	2092
666	4181	2087
667	4189	2082
668	4200	2078
669	4206	2071
670	4216	2067
671	4221	2060
672	4228	2054
673	4234	2048
674	4239	2041
675	4247	2035
676	4251	2028
677	4255	2021
678	4263	2015
679	4268	2008
680	4272	2001
681	4279	1995
682	4283	1988
683	4288	1981
684	4297	1976
685	4301	1968
686	4306	1962
687	4310	1954
688	4315	1947
689	4319	1940
690	4326	1934
691	4332	1928
692	4337	1921
693	4342	1914
694	4347	1907
695	4351	1900
696	4358	1894
697	4362	1887
698	4367	1880
699	4373	1874
700	4378	1867
701	4382	1860
702	4389	1854
703	4394	1847
704	4400	1841
705	4409	1836
706	4414	1829
707	4424	1824
708	4430	1818
709	4441	1814
710	4447	1807
711	4457	1803
712	4463	1796
713	4474	1792
714	4480	1786
715	4492	1781
716	4500	1776
717	4508	1770
718	4520	1766
719	4526	1760
720	4538	1756
721	4551	1752
722	4559	1746
723	4574	1743
724	4585	1739
725	4591	1732
726	4600	1727
727	4607	1721
728	4618	1716
729	4624	1710
730	4635	1705
731	4640	1699
732	4651	1694
733	4657	1687
734	4669	1683
735	4674	1676
736	4686	1672
737	4690	1665
738	4699	1659
739	4704	1652
