iter	Logloss
0	0.689319025
1	0.686364605
2	0.6833056969
3	0.6805300737
4	0.6777128895
5	0.6744004147
6	0.6715018259
7	0.6680860425
8	0.6650084991
9	0.6612573299
10	0.6584358882
11	0.6557752142
12	0.6535031687
13	0.6509378765
14	0.6473392576
15	0.6451122006
16	0.6429367258
17	0.640338825
18	0.6376903609
19	0.635419135
20	0.6322064927
21	0.6289976918
22	0.6268524996
23	0.6242782324
24	0.6216085748
25	0.6195614946
26	0.6171273519
27	0.6151766274
28	0.6130275717
29	0.6106206059
30	0.6084461862
31	0.6067117747
32	0.6042640484
33	0.6025283481
34	0.6007138356
35	0.5984837279
36	0.5962866224
37	0.5936163338
38	0.5913790536
39	0.5897318682
40	0.5879808184
41	0.5856738363
42	0.5838113506
43	0.5817184538
44	0.5793443006
45	0.5771460589
46	0.5749566888
47	0.5726600054
48	0.5703594206
49	0.5687464953
50	0.5667169535
51	0.5650502477
52	0.5632754125
53	0.5617950982
54	0.5598934121
55	0.5577780875
56	0.5557468012
57	0.5537250692
58	0.5514895351
59	0.549123148
60	0.5470104033
61	0.5454227209
62	0.5438094772
63	0.5421381771
64	0.5402651379
65	0.5384985489
66	0.5364457132
67	0.5342391917
68	0.5319386904
69	0.5301853971
70	0.5289134845
71	0.5273527657
72	0.5252512355
73	0.5238486917
74	0.5219218905
75	0.5203912085
76	0.5186851415
77	0.5169533781
78	0.5155998814
79	0.5136299647
80	0.5120335572
81	0.5102630027
82	0.5088647942
83	0.5075039266
84	0.5059048786
85	0.5043601031
86	0.5029233685
87	0.5019246694
88	0.5005187249
89	0.4992265197
90	0.4978104328
91	0.4962680916
92	0.4948138394
93	0.4933715101
94	0.4920102722
95	0.4903972154
96	0.4892173217
97	0.4877160435
98	0.485528207
99	0.4845229777
100	0.4833788224
101	0.4822253587
102	0.4809746308
103	0.479424822
104	0.4780120143
105	0.4767503877
106	0.4756383292
107	0.4739851849
108	0.4726677048
109	0.4712520276
110	0.4701749287
111	0.468787634
112	0.4673214327
113	0.4662335497
114	0.4648401304
115	0.4639889362
116	0.4628265664
117	0.4621509466
118	0.4615472727
119	0.4605104838
120	0.4591998678
121	0.4587279758
122	0.4575195387
123	0.4566277931
124	0.4557060922
125	0.4549145355
126	0.4533225324
127	0.4518791269
128	0.4509035023
129	0.4497546101
130	0.4484917831
131	0.4476194728
132	0.4461050725
133	0.4453087576
134	0.4441452568
135	0.4433256818
136	0.4421696605
137	0.4410975416
138	0.439934063
139	0.4387703341
140	0.437618527
141	0.4369552695
142	0.4356988832
143	0.4346507717
144	0.4334953277
145	0.4331513282
146	0.4320755414
147	0.4310825759
148	0.4301935426
149	0.4287408774
150	0.4274115883
151	0.4263362664
152	0.4250578042
153	0.4238603571
154	0.4223752726
155	0.4213999014
156	0.4202463802
157	0.4191742696
158	0.4185297005
159	0.4178703605
160	0.4168416971
161	0.41605227
162	0.4151332852
163	0.4145438378
164	0.4136711565
165	0.4124918446
166	0.4114479143
167	0.4105904982
168	0.4097344649
169	0.4089368545
170	0.408535075
171	0.4077277353
172	0.4069108221
173	0.4056110576
174	0.4046718314
175	0.403635232
176	0.4028454326
177	0.4019443957
178	0.4009154827
179	0.4004654245
180	0.3995398718
181	0.3986571197
182	0.3974032029
183	0.3964473278
184	0.3958801454
185	0.394972696
186	0.3942401116
187	0.3936509438
188	0.3928314474
189	0.3920690071
190	0.3912375435
191	0.3903907132
192	0.3897383906
193	0.3888694239
194	0.3880108908
195	0.3868934517
196	0.3866090599
197	0.3860366216
198	0.38539079
199	0.3841924027
200	0.3835834914
201	0.3829562308
202	0.3823043968
203	0.3817269819
204	0.38109692
205	0.3805879435
206	0.3800480054
207	0.3791513451
208	0.3786503155
209	0.377806358
210	0.3770598382
211	0.3760252735
212	0.3754067003
213	0.3746560148
214	0.374014167
215	0.373621751
216	0.3726079363
217	0.3718048328
218	0.3712396361
219	0.3706586822
220	0.3701107471
221	0.3692550045
222	0.3686978764
223	0.3679748046
224	0.3676863341
225	0.3668615389
226	0.3663072752
227	0.3656854597
228	0.3651605558
229	0.3644641057
230	0.3638276683
231	0.3632397661
232	0.3624163798
233	0.3617729885
234	0.3609976251
235	0.360052319
236	0.3598996401
237	0.3591140482
238	0.3588511409
239	0.358225205
240	0.357660221
241	0.3570870682
242	0.3567542422
243	0.3560266052
244	0.3557343131
245	0.3550854959
246	0.3544512969
247	0.3535333987
248	0.3528584807
249	0.3522524694
250	0.3516121099
251	0.351036551
252	0.3501941144
253	0.3493416344
254	0.3488553146
255	0.3479548639
256	0.347358626
257	0.3467044961
258	0.3459502077
259	0.3451760937
260	0.3445647388
261	0.3441107782
262	0.3434718149
263	0.3430604433
264	0.342207667
265	0.3413404138
266	0.3404984889
267	0.3399988871
268	0.3393237096
269	0.3387759126
270	0.338085638
271	0.3377235143
272	0.3372066431
273	0.3361912863
274	0.3357352882
275	0.3353819412
276	0.3346795963
277	0.3339995182
278	0.3336097673
279	0.3331827988
280	0.3321232765
281	0.3313693714
282	0.3308008627
283	0.3301970933
284	0.3293678539
285	0.3283115108
286	0.3277865978
287	0.3271507638
288	0.3268480791
289	0.3263664633
290	0.3260623569
291	0.3256419142
292	0.3249286107
293	0.3243857965
294	0.3240844535
295	0.3238310191
296	0.3233774128
297	0.3227899161
298	0.322271189
299	0.3215417734
300	0.3208362015
301	0.3203397582
302	0.319562627
303	0.3189393169
304	0.3185544511
305	0.3178757689
306	0.3171494033
307	0.3164289492
308	0.3158328559
309	0.3153288294
310	0.3147037286
311	0.3142313156
312	0.3136890853
313	0.3133057382
314	0.3129777337
315	0.312440385
316	0.3121105036
317	0.3115819045
318	0.3113391763
319	0.3107640535
320	0.3102145204
321	0.309807448
322	0.3093783718
323	0.308900439
324	0.308424493
325	0.3077466335
326	0.3071168732
327	0.3065317027
328	0.3058444337
329	0.3053786878
330	0.3049561645
331	0.3045822261
332	0.3040453256
333	0.303481082
334	0.3031576992
335	0.3026127991
336	0.3019693384
337	0.3015399012
338	0.3010761605
339	0.3005965961
340	0.3000285878
341	0.2995065286
342	0.2990922659
343	0.2985480387
344	0.2981587807
345	0.2975713625
346	0.29705703
347	0.296651273
348	0.2961309361
349	0.2958909964
350	0.295274005
351	0.2947906051
352	0.2943791845
353	0.2939804163
354	0.2936262884
355	0.2930884385
356	0.2926671908
357	0.292150228
358	0.2915497948
359	0.2910647894
360	0.2907498295
361	0.2904545235
362	0.2898986789
363	0.2893212211
364	0.2888439382
365	0.2884035629
366	0.2881772952
367	0.2876492092
368	0.2873707709
369	0.2870358818
370	0.2867663964
371	0.28646349
372	0.2860188603
373	0.2854973317
374	0.2849470755
375	0.284766936
376	0.2843179399
377	0.2840422
378	0.2838626908
379	0.2835619307
380	0.2833235006
381	0.2828069175
382	0.282340493
383	0.2819020502
384	0.2814978033
385	0.2810104909
386	0.2807075311
387	0.2801375111
388	0.2799774841
389	0.279363247
390	0.2789944526
391	0.2786166568
392	0.2782755604
393	0.2779171942
394	0.2775817952
395	0.2771295254
396	0.2765613428
397	0.276046424
398	0.2755096071
399	0.2752102335
400	0.2748724133
401	0.2742573344
402	0.2737901925
403	0.2733676731
404	0.2728406952
405	0.2724082376
406	0.2719203403
407	0.2715803342
408	0.271244392
409	0.2705908457
410	0.2700268743
411	0.2698027622
412	0.2695105271
413	0.2690022188
414	0.2686113048
415	0.26815672
416	0.267980446
417	0.2674600146
418	0.267059525
419	0.2668443997
420	0.2664570307
421	0.2660924202
422	0.2657819765
423	0.265578964
424	0.2651413527
425	0.2646771866
426	0.264217196
427	0.2638044411
428	0.2634554595
429	0.2630670038
430	0.2624776972
431	0.2621414651
432	0.2617391807
433	0.2612898381
434	0.2610869667
435	0.2607425364
436	0.2605736048
437	0.2601902881
438	0.259793421
439	0.2595546621
440	0.2589167
441	0.2586839348
442	0.2584944397
443	0.2580983292
